id	disease_a_id	disease_b_id	relative_risk
1	101	102	18.9358271700369
2	102	101	12.713205334753
3	101	110	1.51852178758634
4	111	101	1.4828530562652
5	112	101	1.39541251495195
6	101	113	7.83575047434911
7	113	101	5.11036034285724
8	101	115	3.25744335262599
9	115	101	7.55866194995105
10	101	117	7.09718564515471
11	117	101	5.67733312337188
12	118	101	1.15661051421892
13	101	124	11.4399667738967
14	124	101	13.0153828372811
15	126	101	3.62057012298213
16	101	128	1.23550943596004
17	128	101	1.98080747950454
18	101	135	4.56458644363146
19	135	101	6.9349819186555
20	102	113	7.50232175118563
21	113	102	7.53578857054012
22	102	115	5.72738500796305
23	115	102	20.1963872210783
24	102	117	5.34533139254923
25	117	102	6.59811078065064
26	102	124	5.89049065656118
27	124	102	10.8088041942916
28	126	102	2.38121367683843
29	102	135	2.76909128492581
30	135	102	6.46315692362387
31	103	104	2.17077818108078
32	103	105	1.5857003536386
33	103	106	1.01790589996706
34	103	108	1.7025684217697
35	103	122	2.19312697241042
36	103	127	1.14524654399833
37	104	105	1.83385850637001
38	105	104	1.59013157513738
39	104	106	2.75194350405355
40	106	104	1.77311232836166
41	104	107	5.83046571096308
42	107	104	10.8496434766047
43	104	108	6.14953788943548
44	108	104	7.25010970041729
45	104	109	5.94352089300596
46	109	104	8.20072078476703
47	110	104	4.0630543041383
48	104	113	1.00874767189628
49	113	104	2.48287033861056
50	116	104	1.632101901939
51	117	104	1.6959734775671
52	118	104	2.08957777850318
53	104	122	4.93026921160413
54	122	104	3.00009063469885
55	104	127	1.44793915343908
56	127	104	1.51147905414596
57	128	104	2.56779180775406
58	104	129	1.97476546352328
59	129	104	4.19689113655213
60	130	104	1.43017544539553
61	104	134	1.96009209287011
62	134	104	2.7340593116164
63	105	106	3.76552454213229
64	106	105	2.82141619268202
65	105	107	1.41234989150454
66	107	105	2.31889940664697
67	105	108	2.5227136906751
68	108	105	2.93723695973509
69	105	109	2.02764452205369
70	109	105	2.67328725651877
71	105	110	1.61983417459495
72	110	105	3.70542620052848
73	116	105	3.64034471370612
74	118	105	1.15935389487796
75	105	121	1.40638881189402
76	121	105	4.1718283965649
77	105	122	1.90277008324535
78	122	105	1.36058861332988
79	105	127	2.74810304646102
80	127	105	3.35845647977469
81	105	129	1.06620696886014
82	129	105	2.42361660008086
83	105	134	2.07593254098145
84	134	105	3.28982841350893
85	113	106	1.30371570623951
86	114	106	4.61339850656813
87	106	122	3.18281365038051
88	122	106	3.01723242449532
89	106	127	1.05164185073658
90	127	106	1.72363859440767
91	134	106	1.23502929834429
92	136	106	1.29151947458429
93	107	108	9.28084186836621
94	108	107	6.51484388168625
95	107	109	9.28084186836621
96	109	107	7.40899394721369
97	110	107	4.90542468186742
98	112	107	2.09618510472011
99	116	107	2.61187225689081
100	118	107	1.50370490709524
101	125	107	2.36441768490688
102	107	128	1.28589690184739
103	128	107	4.56816103805589
104	107	129	4.8154416768769
105	129	107	6.57457272787327
106	130	107	2.98625844643556
107	107	134	2.97136237508387
108	134	107	2.81748985936732
109	108	109	6.50328842018458
110	109	108	7.39371616715208
111	110	108	5.69841799267944
112	113	108	1.48711574522949
113	116	108	3.52950434676829
114	118	108	2.56589213355793
115	108	121	1.22852312649133
116	121	108	3.05537184467275
117	108	122	1.3891488214404
118	125	108	2.30392858860669
119	108	127	1.33966153574983
120	127	108	1.4163389011658
121	128	108	4.7038098689887
122	108	129	3.9723036988903
123	129	108	7.76116586763655
124	130	108	5.78322258970173
125	108	134	3.83831059458831
126	134	108	5.18373522452131
127	109	110	2.6909633618244
128	110	109	4.57565090355634
129	113	109	1.38427158833449
130	116	109	2.81861320085959
131	117	109	1.07072253076263
132	118	109	1.8120519107395
133	121	109	1.68953584876027
134	109	122	1.32514396655943
135	109	127	1.08461022608898
136	127	109	1.01138957453065
137	109	128	1.83409468257082
138	128	109	8.19585975304452
139	109	129	4.23254709036606
140	129	109	7.25786559130361
141	109	130	1.12751222475471
142	130	109	6.57615209012653
143	109	134	3.01151333732154
144	134	109	3.57770039547766
145	115	110	2.22389585569313
146	110	116	1.13668378627582
147	116	110	4.20242581963197
148	110	121	3.50390095210176
149	121	110	4.56198283091579
150	123	110	1.01638612863212
151	110	124	1.24471564452012
152	125	110	1.51059005416568
153	110	127	1.27500242123635
154	110	129	2.95205526959636
155	129	110	2.98941577317087
156	130	110	1.15884161098227
157	110	134	2.99108325102123
158	134	110	2.08719647418862
159	135	110	2.05894135912914
160	136	110	1.82537846236892
161	111	124	2.21685280028872
162	124	111	1.02033937479525
163	111	129	1.13615114896932
164	135	111	1.21606475831793
165	112	116	2.85198897232989
166	116	112	3.11992713392042
167	123	112	1.77714138283113
168	112	124	18.9739017447361
169	124	112	8.76829467290004
170	126	112	1.44722937767174
171	112	132	3.89535799110054
172	132	112	3.26040144632714
173	112	133	4.35761074437597
174	133	112	7.34077722714183
175	113	115	1.28068003054357
176	115	113	4.10966013459726
177	113	117	6.2001523664812
178	117	113	7.59176279762985
179	118	113	1.34594854516359
180	113	124	2.24277567768343
181	124	113	4.01544033237654
182	126	113	6.66298586300099
183	113	127	1.95156701232439
184	113	129	2.11482051660619
185	129	113	1.75877457048934
186	113	132	1.59018067480547
187	132	113	3.87723334697334
188	135	113	1.86436182084835
189	116	114	1.089696374769
190	114	120	1.05446016705719
191	120	114	16.6142762585376
192	114	121	1.20808702631323
193	114	133	3.3843160143528
194	133	114	6.75677024115088
195	136	114	1.31903212451387
196	115	117	1.10586364050961
197	115	135	11.6234447228327
198	135	115	7.1240950924165
199	116	119	1.30667966914965
200	119	116	1.66513987104166
201	116	130	1.09198474831113
202	130	116	1.01727767548612
203	116	132	3.56040650304094
204	132	116	2.72588222909955
205	116	133	2.81454914654271
206	133	116	4.43142878181763
207	116	134	1.78112887134388
208	118	117	1.59718024155658
209	123	117	2.50472202731393
210	117	124	2.4537035819893
211	124	117	3.8218708119615
212	125	117	1.00575346714283
213	128	117	1.38401081694003
214	117	129	1.99563704552585
215	129	117	1.51135226069504
216	131	117	3.24991422935344
217	117	134	1.19835883252884
218	117	135	7.72397567766454
219	135	117	15.0816001959649
220	118	122	2.67758229042258
221	123	118	1.19907224321178
222	118	124	1.40137296033039
223	118	127	1.35578179062048
224	118	129	2.05890191517268
225	118	134	1.22901226217564
226	118	135	2.99010613365835
227	135	118	2.27940393832934
228	119	132	2.11401328240039
229	132	119	1.27080911536677
230	120	135	1.10677861614724
231	121	127	1.01054875199792
232	121	129	4.11093206386888
233	129	121	3.1987347466015
234	121	134	2.84273024913143
235	134	121	1.54227235230818
236	122	127	1.51538496230307
237	127	122	2.57793187388511
238	129	122	1.33824329194683
239	131	123	2.0578520673139
240	123	132	3.99057732511518
241	132	123	1.50072054436325
242	123	133	1.32800723349255
243	133	123	1.02978457971015
244	123	135	1.0825793646561
245	124	125	1.63970565513954
246	125	124	4.88855695625471
247	126	124	3.43242557360871
248	124	127	3.13972410958159
249	124	128	1.92946207634268
250	128	124	2.46996180746975
251	124	129	1.55753539488786
252	124	130	2.39852179691712
253	130	124	4.14751575115837
254	124	133	2.08642159299383
255	133	124	6.25561700161639
256	124	135	1.07946315197124
257	135	124	1.28840063299297
258	125	129	2.01423852306705
259	125	135	5.3606774035724
260	135	125	2.19967515932349
261	132	126	1.60772897860937
262	126	133	3.86779384076654
263	133	126	2.70654104203397
264	126	135	1.13123643690209
265	129	127	1.72994105383061
266	130	127	2.24655342476886
267	127	134	1.90569619168361
268	134	127	2.46736890245891
269	128	129	4.67435927160414
270	129	128	1.78836508497315
271	128	130	4.04690747901799
272	130	128	5.2858630819504
273	131	128	1.05444312446246
274	129	131	1.81588265419555
275	131	129	6.90846615508892
276	129	134	3.636191393149
277	134	129	2.50470271710932
278	130	131	1.05082924899106
279	131	130	1.15645663764842
280	130	133	1.43459629550288
281	133	130	2.40095674795017
282	130	134	1.75043746905832
283	131	132	1.81859399527583
284	132	133	4.79091266756029
285	133	132	9.90928372212261
286	1	2	1.96929914879484
287	2	1	4.50087189410026
288	3	1	1.94858811172982
289	5	1	2.85868111722779
290	1	9	3.52700957296184
291	9	1	5.01185499273266
292	13	1	2.94256635509628
293	1	14	1.46258592936331
294	14	1	5.22861710615648
295	1	18	1.57065168906812
296	18	1	4.03802898899823
297	1	23	1.06216913149442
298	1	26	1.28114673628503
299	26	1	1.69932399597803
300	27	1	1.88572503726147
301	1	30	1.20986317862952
302	30	1	2.12035770186461
303	33	1	1.09741690128495
304	34	1	2.93373576693816
305	35	1	2.14903847353912
306	1	37	2.42869432838541
307	37	1	2.37635185444774
308	1	39	4.04476077087895
309	39	1	6.49454955062573
310	1	40	1.76161096129826
311	40	1	2.4992316580544
312	1	41	3.33706490741856
313	41	1	7.53165781576578
314	42	1	1.09276658810314
315	43	1	1.28571711210103
316	1	45	3.20800943519125
317	45	1	2.91059454040521
318	1	50	1.7043745608301
319	50	1	1.54166945702063
320	52	1	1.86784016864495
321	1	58	2.43839994036353
322	58	1	2.91202466404715
323	1	60	5.02039174741455
324	60	1	5.57133968699062
325	62	1	4.24426569826066
326	65	1	1.15625353691388
327	1	68	1.3732019773946
328	68	1	2.22037079427006
329	1	70	1.3393258332415
330	70	1	5.76303109776134
331	71	1	1.09264521669283
332	1	73	1.86898857068061
333	73	1	1.40219686253142
334	75	1	1.02344267756281
335	83	1	2.06426132638
336	1	84	1.00840001593865
337	84	1	3.90774276187237
338	1	85	1.84721008936845
339	1	86	1.47930363101303
340	86	1	1.38756583843973
341	1	88	2.70173248398763
342	88	1	3.09858676303559
343	1	89	1.07236261661023
344	89	1	1.56515872894613
345	90	1	3.83014355832897
346	94	1	1.26306669455376
347	97	1	1.16064324052008
348	98	1	1.42773261644076
349	103	1	1.87421829885422
350	1	104	5.10920376186124
351	104	1	5.68626465747416
352	1	105	3.40438240754544
353	105	1	3.57819768966861
354	1	106	1.04845154505651
355	1	107	2.70749187334096
356	107	1	4.75661131296908
357	1	108	4.6184322373015
358	108	1	5.69349787894697
359	1	109	3.44541352788097
360	109	1	4.83107305771361
361	1	110	1.91585729714425
362	110	1	4.57565090355634
363	1	113	1.17888498244183
364	113	1	3.47783376118966
365	116	1	1.30667966914965
366	117	1	2.36772432351956
367	1	121	2.22176907239843
368	121	1	6.83849258466347
369	1	122	1.9188380490427
370	122	1	1.49085439797999
371	1	127	1.95747166954165
372	127	1	2.53369963865758
373	128	1	5.37601807707189
374	1	129	2.49923218371864
375	129	1	6.04524572831046
376	130	1	1.64117153966379
377	1	134	3.02692013057789
378	134	1	5.04399483374248
379	2	5	3.27705439830553
380	5	2	21.8289209295089
381	2	7	2.43122486615252
382	7	2	2.83604689539068
383	16	2	1.57824260008327
384	2	21	2.71661581506537
385	2	22	1.00773501967728
386	27	2	1.3307612273148
387	2	28	1.83480954755671
388	28	2	5.92414223389057
389	31	2	3.18508378124937
390	34	2	3.69492956039149
391	36	2	3.7658621856001
392	2	37	2.88599697586618
393	37	2	1.22376418476938
394	2	38	2.1497418195801
395	38	2	1.73375495283289
396	2	40	3.60274301033538
397	40	2	2.2344639607472
398	2	41	1.00200014991494
399	47	2	1.83690258316341
400	2	52	1.93027079441837
401	52	2	3.67826150821629
402	2	60	1.24850561724049
403	62	2	1.44300782215842
404	64	2	6.57195935375671
405	2	67	2.41378555958551
406	67	2	5.00443038435192
407	2	69	2.33837493271339
408	69	2	19.4553224896163
409	2	70	5.41456439668249
410	70	2	10.2313166329315
411	79	2	2.44403190428258
412	81	2	1.91425723516697
413	2	83	2.2350839919397
414	83	2	13.199620695972
415	2	88	1.62533167426332
416	91	2	3.03713161353487
417	2	97	1.55067114449081
418	97	2	7.21884931527917
419	99	2	1.01081699103083
420	2	101	1.08107805679759
421	101	2	1.84431135218959
422	2	102	2.63507790863757
423	102	2	2.89919566674321
424	2	104	4.01353742982813
425	104	2	2.01060847685154
426	2	107	1.64346510070073
427	107	2	1.26409189691771
428	2	108	3.26678175337697
429	108	2	1.76260169480727
430	2	109	1.45507644319294
431	111	2	2.73025745815481
432	2	113	8.05055723125088
433	113	2	8.81102315810519
434	2	115	1.5935175558085
435	115	2	6.11341835934011
436	2	117	4.12096176083583
437	117	2	5.65198096246397
438	2	129	1.78848256539295
439	129	2	1.89455286269244
440	131	2	1.38846499410311
441	132	2	1.38801938161227
442	136	2	1.07301285081284
443	3	6	15.5407459271965
444	6	3	2.21748159672964
445	3	32	41.0757706107264
446	32	3	38.591096349852
447	3	43	2.6414909007979
448	43	3	3.28855548309194
